a.zip_code,a.ucr_offense_description,a.est,_c3
75243,OCCUPATIONAL ACCIDENT,1540,4
75243,NARCOTICS/DRUGS,1540,45
75243,MURDER,1540,10
75243,MOTOR VEHICLE ACCIDENT,1540,737
75243,LOST PROPERTY,1540,63
75243,LIQUOR,1540,4
75243,HOME ACCIDENT,1540,42
75243,FRAUD,1540,111
75243,FOUND PROPERTY,1540,521
75243,FORGERY & COUNTERFEIT,1540,73
75243,FIREARMS ACCIDENT,1540,7
75243,EMBEZZLEMENT,1540,43
75243,DWI,1540,21
75243,DISORDERLY CONDUCT,1540,92
75243,CRIMINAL MISCHIEF/VANDALISM,1540,1074
75243,CHILD (OFFENSES AGAINST),1540,15
75243,BURGLARY,1540,895
75243,ACCIDENTAL INJURY,1540,84
75231,ROBBERY,1494,217
75231,SUDDEN DEATH,1494,42
75231,THEFT,1494,1251
75231,TRAFFIC FATALITY,1494,3
75231,WEAPONS,1494,4
75231,ACCIDENTAL INJURY,1494,62
75231,AGGRAVATED ASSAULT,1494,56
75231,ANIMAL BITE,1494,4
75231,ARSON,1494,3
75231,ASSAULT,1494,174
75231,AUTO THEFT - UUMV,1494,267
75231,BURGLARY,1494,615
75231,CHILD (OFFENSES AGAINST),1494,6
75231,CRIMINAL MISCHIEF/VANDALISM,1494,706
75231,DISORDERLY CONDUCT,1494,37
75231,DWI,1494,17
75231,EMBEZZLEMENT,1494,42
75231,FIREARMS ACCIDENT,1494,4
75231,FORGERY & COUNTERFEIT,1494,52
75231,FOUND PROPERTY,1494,216
75231,FRAUD,1494,56
75231,HOME ACCIDENT,1494,27
75231,LOST PROPERTY,1494,39
75231,MOTOR VEHICLE ACCIDENT,1494,346
75231,MURDER,1494,4
75231,NARCOTICS/DRUGS,1494,26
75231,OCCUPATIONAL ACCIDENT,1494,4
75231,OTHER OFFENSES,1494,112
75234,ACCIDENTAL INJURY,1484,6
75234,TRAFFIC FATALITY,1484,1
75234,THEFT,1484,117
75234,SUDDEN DEATH,1484,7
75234,ROBBERY,1484,12
75234,OTHER OFFENSES,1484,7
75234,NARCOTICS/DRUGS,1484,2
75234,MOTOR VEHICLE ACCIDENT,1484,88
75234,LOST PROPERTY,1484,6
75234,HOME ACCIDENT,1484,2
75234,FRAUD,1484,6
75234,FOUND PROPERTY,1484,76
75234,FORGERY & COUNTERFEIT,1484,5
75234,EMBEZZLEMENT,1484,2
75234,DWI,1484,1
75234,DISORDERLY CONDUCT,1484,2
75234,CRIMINAL MISCHIEF/VANDALISM,1484,31
75234,BURGLARY,1484,59
75234,AUTO THEFT - UUMV,1484,30
75234,ASSAULT,1484,10
75234,ARSON,1484,1
75234,ANIMAL BITE,1484,1
75234,AGGRAVATED ASSAULT,1484,3
75062,AUTO THEFT - UUMV,1382,1
75062,THEFT,1382,3
75062,CRIMINAL MISCHIEF/VANDALISM,1382,1
75219,ANIMAL BITE,1361,2
75219,ACCIDENTAL INJURY,1361,34
75219,AGGRAVATED ASSAULT,1361,12
75219,TRAFFIC FATALITY,1361,1
75219,THEFT,1361,795
75219,SUDDEN DEATH,1361,36
75219,ROBBERY,1361,69
75219,OTHER OFFENSES,1361,35
75219,OCCUPATIONAL ACCIDENT,1361,1
75219,NARCOTICS/DRUGS,1361,6
75219,MURDER,1361,1
75219,MOTOR VEHICLE ACCIDENT,1361,210
75219,LOST PROPERTY,1361,23
75219,LIQUOR,1361,1
75219,HOME ACCIDENT,1361,13
75219,FRAUD,1361,16
75219,FOUND PROPERTY,1361,172
75219,FORGERY & COUNTERFEIT,1361,24
75219,FIREARMS ACCIDENT,1361,3
75219,EMBEZZLEMENT,1361,9
75219,DWI,1361,19
75219,DISORDERLY CONDUCT,1361,24
75219,CRIMINAL MISCHIEF/VANDALISM,1361,295
75219,CHILD (OFFENSES AGAINST),1361,5
75219,BURGLARY,1361,213
75219,AUTO THEFT - UUMV,1361,152
75219,ASSAULT,1361,93
75219,ARSON,1361,4
75150,THEFT,1265,1
75150,DISORDERLY CONDUCT,1265,1
75150,CRIMINAL MISCHIEF/VANDALISM,1265,1
75150,ASSAULT,1265,1
75150,FOUND PROPERTY,1265,4
75150,LIQUOR,1265,1
75150,NARCOTICS/DRUGS,1265,1
75150,ROBBERY,1265,1
75230,OTHER OFFENSES,1254,14
75230,SUDDEN DEATH,1254,36
75230,THEFT,1254,501
75230,TRAFFIC FATALITY,1254,1
75230,ROBBERY,1254,31
75230,ACCIDENTAL INJURY,1254,5
75230,AGGRAVATED ASSAULT,1254,5
75230,ANIMAL BITE,1254,1
75230,ASSAULT,1254,19
75230,AUTO THEFT - UUMV,1254,77
75230,BURGLARY,1254,137
75230,CRIMINAL MISCHIEF/VANDALISM,1254,160
75230,DISORDERLY CONDUCT,1254,20
75230,DWI,1254,3
75230,EMBEZZLEMENT,1254,7
75230,FIREARMS ACCIDENT,1254,2
75230,FORGERY & COUNTERFEIT,1254,9
75230,FOUND PROPERTY,1254,72
75230,FRAUD,1254,13
75230,HOME ACCIDENT,1254,8
75230,LOST PROPERTY,1254,13
75230,MOTOR VEHICLE ACCIDENT,1254,136
75230,MURDER,1254,1
75230,NARCOTICS/DRUGS,1254,2
75220,FORGERY & COUNTERFEIT,1242,35
75220,FOUND PROPERTY,1242,547
75220,LOST PROPERTY,1242,67
75220,MOTOR VEHICLE ACCIDENT,1242,425
75220,MURDER,1242,1
75220,NARCOTICS/DRUGS,1242,35
75220,OTHER OFFENSES,1242,110
75220,ROBBERY,1242,254
75220,SUDDEN DEATH,1242,36
75220,THEFT,1242,1479
75220,TRAFFIC FATALITY,1242,6
75220,WEAPONS,1242,5
75220,AGGRAVATED ASSAULT,1242,58
75220,FRAUD,1242,55
75220,HOME ACCIDENT,1242,24
75220,ACCIDENTAL INJURY,1242,85
75220,LIQUOR,1242,2
75220,ANIMAL BITE,1242,7
75220,ARSON,1242,6
75220,ASSAULT,1242,177
75220,AUTO THEFT - UUMV,1242,533
75220,BURGLARY,1242,631
75220,CHILD (OFFENSES AGAINST),1242,5
75220,CRIMINAL MISCHIEF/VANDALISM,1242,718
75220,DISORDERLY CONDUCT,1242,52
75220,DWI,1242,45
75220,EMBEZZLEMENT,1242,36
75220,FIREARMS ACCIDENT,1242,4
75204,DWI,1221,43
75204,EMBEZZLEMENT,1221,26
75204,FIREARMS ACCIDENT,1221,1
75204,FORGERY & COUNTERFEIT,1221,18
75204,TRAFFIC FATALITY,1221,3
75204,THEFT,1221,1522
75204,SUDDEN DEATH,1221,32
75204,ROBBERY,1221,104
75204,OTHER OFFENSES,1221,73
75204,NARCOTICS/DRUGS,1221,9
75204,MURDER,1221,1
75204,MOTOR VEHICLE ACCIDENT,1221,409
75204,LOST PROPERTY,1221,44
75204,HOME ACCIDENT,1221,12
75204,FRAUD,1221,31
75204,FOUND PROPERTY,1221,282
75204,ACCIDENTAL INJURY,1221,42
75204,AGGRAVATED ASSAULT,1221,41
75204,ANIMAL BITE,1221,10
75204,ARSON,1221,1
75204,ASSAULT,1221,123
75204,AUTO THEFT - UUMV,1221,279
75204,BURGLARY,1221,394
75204,CHILD (OFFENSES AGAINST),1221,2
75204,CRIMINAL MISCHIEF/VANDALISM,1221,467
75204,DISORDERLY CONDUCT,1221,38
75050,AGGRAVATED ASSAULT,1212,1
75019,EMBEZZLEMENT,1195,1
75019,OTHER OFFENSES,1195,1
75019,DISORDERLY CONDUCT,1195,2
75019,CRIMINAL MISCHIEF/VANDALISM,1195,4
75019,BURGLARY,1195,14
75019,AUTO THEFT - UUMV,1195,5
75019,ASSAULT,1195,1
75019,ARSON,1195,1
75019,THEFT,1195,11
75019,ROBBERY,1195,2
75247,ROBBERY,1152,46
75247,THEFT,1152,529
75247,WEAPONS,1152,1
75247,FOUND PROPERTY,1152,197
75247,FORGERY & COUNTERFEIT,1152,16
75247,EMBEZZLEMENT,1152,17
75247,DWI,1152,7
75247,DISORDERLY CONDUCT,1152,25
75247,CRIMINAL MISCHIEF/VANDALISM,1152,145
75247,CHILD (OFFENSES AGAINST),1152,1
75247,BURGLARY,1152,125
75247,AUTO THEFT - UUMV,1152,198
75247,ASSAULT,1152,57
75247,ANIMAL BITE,1152,2
75247,AGGRAVATED ASSAULT,1152,20
75247,ACCIDENTAL INJURY,1152,29
75247,SUDDEN DEATH,1152,12
75247,ARSON,1152,4
75247,FRAUD,1152,13
75247,HOME ACCIDENT,1152,1
75247,LOST PROPERTY,1152,12
75247,MOTOR VEHICLE ACCIDENT,1152,156
75247,MURDER,1152,1
75247,NARCOTICS/DRUGS,1152,3
75247,OCCUPATIONAL ACCIDENT,1152,4
75247,OTHER OFFENSES,1152,38
75244,DWI,1134,2
75244,FORGERY & COUNTERFEIT,1134,3
75244,FOUND PROPERTY,1134,104
75244,FRAUD,1134,3
75244,HOME ACCIDENT,1134,4
75244,LOST PROPERTY,1134,7
75244,MOTOR VEHICLE ACCIDENT,1134,123
75244,OTHER OFFENSES,1134,5
75244,ROBBERY,1134,9
75244,SUDDEN DEATH,1134,7
75244,THEFT,1134,220
75244,TRAFFIC FATALITY,1134,2
75244,WEAPONS,1134,1
75244,AGGRAVATED ASSAULT,1134,5
75244,ANIMAL BITE,1134,2
75244,ARSON,1134,1
75244,EMBEZZLEMENT,1134,8
75244,ASSAULT,1134,12
75244,AUTO THEFT - UUMV,1134,35
75244,BURGLARY,1134,84
75244,CRIMINAL MISCHIEF/VANDALISM,1134,55
75244,DISORDERLY CONDUCT,1134,5
75205,HOME ACCIDENT,1116,2
75205,MOTOR VEHICLE ACCIDENT,1116,29
75205,NARCOTICS/DRUGS,1116,2
75205,OCCUPATIONAL ACCIDENT,1116,1
75205,OTHER OFFENSES,1116,4
75205,ROBBERY,1116,11
75205,SUDDEN DEATH,1116,9
75205,THEFT,1116,157
75205,TRAFFIC FATALITY,1116,1
75205,LOST PROPERTY,1116,4
75205,ACCIDENTAL INJURY,1116,3
75205,AGGRAVATED ASSAULT,1116,2
75205,ANIMAL BITE,1116,2
75205,ASSAULT,1116,9
75205,AUTO THEFT - UUMV,1116,17
75205,BURGLARY,1116,56
75205,CRIMINAL MISCHIEF/VANDALISM,1116,45
75205,DISORDERLY CONDUCT,1116,7
75205,DWI,1116,2
75205,EMBEZZLEMENT,1116,2
75205,FORGERY & COUNTERFEIT,1116,1
75205,FOUND PROPERTY,1116,22
75205,FRAUD,1116,5
75207,DWI,1104,12
75207,EMBEZZLEMENT,1104,17
75207,FIREARMS ACCIDENT,1104,1
75207,FORGERY & COUNTERFEIT,1104,14
75207,FOUND PROPERTY,1104,112
75207,FRAUD,1104,27
75207,HOME ACCIDENT,1104,2
75207,LOST PROPERTY,1104,21
75207,MOTOR VEHICLE ACCIDENT,1104,175
75207,MURDER,1104,1
75207,NARCOTICS/DRUGS,1104,3
75207,TRAFFIC FATALITY,1104,2
75207,THEFT,1104,470
75207,SUDDEN DEATH,1104,7
75207,ROBBERY,1104,28
75207,OTHER OFFENSES,1104,28
75207,ACCIDENTAL INJURY,1104,15
75207,AGGRAVATED ASSAULT,1104,12
75207,ARSON,1104,1
75207,ASSAULT,1104,62
75207,AUTO THEFT - UUMV,1104,121
75207,BURGLARY,1104,99
75207,CRIMINAL MISCHIEF/VANDALISM,1104,139
75207,DISORDERLY CONDUCT,1104,12
75207,WEAPONS,1104,1
75248,WEAPONS,1098,2
75248,SUDDEN DEATH,1098,36
75248,ROBBERY,1098,28
75248,OTHER OFFENSES,1098,19
75248,OCCUPATIONAL ACCIDENT,1098,1
75248,NARCOTICS/DRUGS,1098,4
75248,ACCIDENTAL INJURY,1098,10
75248,AGGRAVATED ASSAULT,1098,5
75248,MOTOR VEHICLE ACCIDENT,1098,119
75248,LOST PROPERTY,1098,20
75248,HOME ACCIDENT,1098,16
75248,FRAUD,1098,25
75248,FOUND PROPERTY,1098,65
75248,FORGERY & COUNTERFEIT,1098,29
75248,EMBEZZLEMENT,1098,14
75248,DWI,1098,11
75248,THEFT,1098,483
75248,ANIMAL BITE,1098,5
75248,ARSON,1098,1
75248,ASSAULT,1098,32
75248,AUTO THEFT - UUMV,1098,71
75248,BURGLARY,1098,150
75248,CHILD (OFFENSES AGAINST),1098,3
75248,CRIMINAL MISCHIEF/VANDALISM,1098,196
75248,DISORDERLY CONDUCT,1098,26
75007,MOTOR VEHICLE ACCIDENT,1042,1
75007,THEFT,1042,1
75254,HOME ACCIDENT,1029,11
75254,LIQUOR,1029,1
75254,LOST PROPERTY,1029,10
75254,MOTOR VEHICLE ACCIDENT,1029,154
75254,MURDER,1029,1
75254,NARCOTICS/DRUGS,1029,5
75254,OTHER OFFENSES,1029,17
75254,ROBBERY,1029,37
75254,SUDDEN DEATH,1029,27
75254,THEFT,1029,459
75254,ASSAULT,1029,33
75254,ARSON,1029,1
75254,ANIMAL BITE,1029,3
75254,AGGRAVATED ASSAULT,1029,8
75254,ACCIDENTAL INJURY,1029,5
75254,BURGLARY,1029,225
75254,AUTO THEFT - UUMV,1029,113
75254,CRIMINAL MISCHIEF/VANDALISM,1029,263
75254,DISORDERLY CONDUCT,1029,18
75254,DWI,1029,9
75254,EMBEZZLEMENT,1029,14
75254,FORGERY & COUNTERFEIT,1029,21
75254,FOUND PROPERTY,1029,78
75254,FRAUD,1029,14
75087,THEFT,976,1
75041,DWI,941,1
75040,THEFT,937,7
75040,SUDDEN DEATH,937,1
75040,OTHER OFFENSES,937,1
75040,MOTOR VEHICLE ACCIDENT,937,1
75040,CRIMINAL MISCHIEF/VANDALISM,937,1
75040,ASSAULT,937,1
75238,FORGERY & COUNTERFEIT,859,20
75238,FIREARMS ACCIDENT,859,1
75238,EMBEZZLEMENT,859,11
75238,DWI,859,8
75238,DISORDERLY CONDUCT,859,37
75238,CRIMINAL MISCHIEF/VANDALISM,859,352
75238,CHILD (OFFENSES AGAINST),859,3
75238,BURGLARY,859,291
75238,AUTO THEFT - UUMV,859,227
75238,ASSAULT,859,94
75238,ARSON,859,2
75238,ANIMAL BITE,859,4
75238,AGGRAVATED ASSAULT,859,22
75238,ACCIDENTAL INJURY,859,22
75052,AGGRAVATED ASSAULT,859,1
75052,ASSAULT,859,1
75052,AUTO THEFT - UUMV,859,1
75052,FOUND PROPERTY,859,1
75052,LOST PROPERTY,859,1
75052,MOTOR VEHICLE ACCIDENT,859,3
75238,WEAPONS,859,1
75238,TRAFFIC FATALITY,859,5
75238,THEFT,859,678
75238,SUDDEN DEATH,859,39
75238,ROBBERY,859,126
75238,OTHER OFFENSES,859,28
75238,OCCUPATIONAL ACCIDENT,859,2
75238,NARCOTICS/DRUGS,859,10
75238,MURDER,859,1
75238,MOTOR VEHICLE ACCIDENT,859,215
75238,LOST PROPERTY,859,37
75238,HOME ACCIDENT,859,13
75238,FRAUD,859,38
75238,FOUND PROPERTY,859,280
75042,NARCOTICS/DRUGS,834,2
75042,ROBBERY,834,2
75042,THEFT,834,1
75042,AUTO THEFT - UUMV,834,1
75042,BURGLARY,834,2
75042,CRIMINAL MISCHIEF/VANDALISM,834,3
75042,FOUND PROPERTY,834,3
75042,MOTOR VEHICLE ACCIDENT,834,3
75252,WEAPONS,773,1
75252,TRAFFIC FATALITY,773,1
75252,THEFT,773,260
75252,SUDDEN DEATH,773,28
75252,ROBBERY,773,30
75252,OTHER OFFENSES,773,14
75252,OCCUPATIONAL ACCIDENT,773,1
75252,NARCOTICS/DRUGS,773,1
75252,MOTOR VEHICLE ACCIDENT,773,74
75252,LOST PROPERTY,773,35
75252,HOME ACCIDENT,773,12
75252,FRAUD,773,25
75252,FOUND PROPERTY,773,83
75252,FORGERY & COUNTERFEIT,773,20
75252,FIREARMS ACCIDENT,773,1
75252,EMBEZZLEMENT,773,14
75252,DWI,773,6
75252,CRIMINAL MISCHIEF/VANDALISM,773,168
75252,CHILD (OFFENSES AGAINST),773,2
75252,BURGLARY,773,108
75252,ACCIDENTAL INJURY,773,15
75252,AGGRAVATED ASSAULT,773,8
75252,ANIMAL BITE,773,1
75252,ARSON,773,1
75252,ASSAULT,773,37
75252,AUTO THEFT - UUMV,773,57
75252,DISORDERLY CONDUCT,773,24
75149,MOTOR VEHICLE ACCIDENT,747,2
75149,ROBBERY,747,1
75149,OTHER OFFENSES,747,1
75149,AUTO THEFT - UUMV,747,1
75149,CRIMINAL MISCHIEF/VANDALISM,747,1
75149,FORGERY & COUNTERFEIT,747,1
75149,FOUND PROPERTY,747,1
75208,LOST PROPERTY,734,21
75208,LIQUOR,734,4
75208,HOME ACCIDENT,734,22
75208,FRAUD,734,25
75208,FOUND PROPERTY,734,298
75208,FORGERY & COUNTERFEIT,734,35
75208,FIREARMS ACCIDENT,734,1
75208,EMBEZZLEMENT,734,12
75208,DWI,734,18
75208,DISORDERLY CONDUCT,734,39
75208,CRIMINAL MISCHIEF/VANDALISM,734,343
75208,CHILD (OFFENSES AGAINST),734,2
75208,BURGLARY,734,354
75208,AUTO THEFT - UUMV,734,164
75208,ASSAULT,734,112
75208,ARSON,734,9
75208,ANIMAL BITE,734,12
75208,AGGRAVATED ASSAULT,734,36
75208,ACCIDENTAL INJURY,734,28
75208,WEAPONS,734,4
75208,TRAFFIC FATALITY,734,3
75208,THEFT,734,811
75208,SUDDEN DEATH,734,27
75208,ROBBERY,734,95
75208,OTHER OFFENSES,734,41
75208,OCCUPATIONAL ACCIDENT,734,1
75208,NARCOTICS/DRUGS,734,6
75208,MOTOR VEHICLE ACCIDENT,734,308
75115,MOTOR VEHICLE ACCIDENT,727,2
75115,LOST PROPERTY,727,1
75115,FOUND PROPERTY,727,3
75115,CRIMINAL MISCHIEF/VANDALISM,727,1
75115,ACCIDENTAL INJURY,727,1
75228,MOTOR VEHICLE ACCIDENT,682,403
75228,LIQUOR,682,10
75228,HOME ACCIDENT,682,49
75228,FRAUD,682,45
75228,FOUND PROPERTY,682,501
75228,FORGERY & COUNTERFEIT,682,60
75228,FIREARMS ACCIDENT,682,10
75228,EMBEZZLEMENT,682,22
75228,DWI,682,14
75228,DISORDERLY CONDUCT,682,94
75228,CRIMINAL MISCHIEF/VANDALISM,682,979
75228,CHILD (OFFENSES AGAINST),682,5
75228,BURGLARY,682,1043
75228,AUTO THEFT - UUMV,682,555
75228,ASSAULT,682,255
75228,ARSON,682,17
75228,ANIMAL BITE,682,15
75228,AGGRAVATED ASSAULT,682,91
75228,ACCIDENTAL INJURY,682,72
75228,LOST PROPERTY,682,61
75228,WEAPONS,682,6
75228,TRAFFIC FATALITY,682,3
75228,THEFT,682,1429
75228,SUDDEN DEATH,682,86
75228,ROBBERY,682,329
75228,OTHER OFFENSES,682,108
75228,OCCUPATIONAL ACCIDENT,682,3
75228,NARCOTICS/DRUGS,682,32
75228,MURDER,682,8
75214,FRAUD,677,14
75214,LOST PROPERTY,677,8
75214,MOTOR VEHICLE ACCIDENT,677,130
75214,MURDER,677,2
75214,NARCOTICS/DRUGS,677,6
75214,OTHER OFFENSES,677,36
75214,ROBBERY,677,43
75214,SUDDEN DEATH,677,50
75214,THEFT,677,849
75214,WEAPONS,677,1
75214,HOME ACCIDENT,677,14
75214,ACCIDENTAL INJURY,677,19
75214,AGGRAVATED ASSAULT,677,9
75214,ANIMAL BITE,677,11
75214,ARSON,677,3
75214,ASSAULT,677,45
75214,AUTO THEFT - UUMV,677,129
75214,BURGLARY,677,280
75214,CHILD (OFFENSES AGAINST),677,2
75214,CRIMINAL MISCHIEF/VANDALISM,677,242
75214,DISORDERLY CONDUCT,677,16
75214,DWI,677,13
75214,EMBEZZLEMENT,677,7
75214,FIREARMS ACCIDENT,677,1
75214,FORGERY & COUNTERFEIT,677,18
75214,FOUND PROPERTY,677,143
75235,SUDDEN DEATH,669,24
75235,OTHER OFFENSES,669,33
75235,OCCUPATIONAL ACCIDENT,669,8
75235,NARCOTICS/DRUGS,669,5
75235,MURDER,669,3
75235,MOTOR VEHICLE ACCIDENT,669,175
75235,LOST PROPERTY,669,45
75235,LIQUOR,669,2
75235,HOME ACCIDENT,669,13
75235,FRAUD,669,63
75235,FOUND PROPERTY,669,247
75235,FORGERY & COUNTERFEIT,669,13
75235,FIREARMS ACCIDENT,669,8
75235,EMBEZZLEMENT,669,31
75235,DWI,669,10
75235,DISORDERLY CONDUCT,669,20
75235,BURGLARY,669,253
75235,AUTO THEFT - UUMV,669,166
75235,ASSAULT,669,103
75235,ARSON,669,1
75235,ANIMAL BITE,669,5
75235,AGGRAVATED ASSAULT,669,16
75235,ACCIDENTAL INJURY,669,132
75235,ROBBERY,669,76
75235,CRIMINAL MISCHIEF/VANDALISM,669,243
75235,WEAPONS,669,26
75235,THEFT,669,570
75043,CRIMINAL MISCHIEF/VANDALISM,646,1
75043,OTHER OFFENSES,646,1
75043,SUDDEN DEATH,646,1
75043,THEFT,646,2
75287,SUDDEN DEATH,641,39
75287,THEFT,641,735
75287,CHILD (OFFENSES AGAINST),641,2
75287,CRIMINAL MISCHIEF/VANDALISM,641,511
75287,WEAPONS,641,2
75287,DISORDERLY CONDUCT,641,56
75287,DWI,641,7
75287,EMBEZZLEMENT,641,18
75287,FIREARMS ACCIDENT,641,2
75287,FORGERY & COUNTERFEIT,641,27
75287,FOUND PROPERTY,641,151
75287,FRAUD,641,32
75287,HOME ACCIDENT,641,37
75287,LOST PROPERTY,641,31
75287,MOTOR VEHICLE ACCIDENT,641,190
75287,MURDER,641,1
75287,'FRAUD,641,1
75287,NARCOTICS/DRUGS,641,7
75287,ACCIDENTAL INJURY,641,32
75287,AGGRAVATED ASSAULT,641,18
75287,ANIMAL BITE,641,9
75287,ARSON,641,3
75287,ASSAULT,641,86
75287,AUTO THEFT - UUMV,641,301
75287,BURGLARY,641,514
75287,OCCUPATIONAL ACCIDENT,641,1
