a.zip_code,a.ucr_offense_description,a.watch,a.est,_c4
75201,EMBEZZLEMENT,1,2086,3
75201,EMBEZZLEMENT,3,2086,1
75201,FORGERY & COUNTERFEIT,1,2086,1
75201,FORGERY & COUNTERFEIT,3,2086,3
75201,FORGERY & COUNTERFEIT,U,2086,1
75201,FOUND PROPERTY,1,2086,21
75201,FOUND PROPERTY,2,2086,21
75201,FOUND PROPERTY,3,2086,20
75201,FOUND PROPERTY,U,2086,7
75201,FRAUD,1,2086,3
75201,FRAUD,2,2086,1
75201,FRAUD,3,2086,2
75201,FRAUD,U,2086,2
75201,HOME ACCIDENT,1,2086,3
75201,HOME ACCIDENT,3,2086,1
75201,LIQUOR,1,2086,3
75201,LOST PROPERTY,1,2086,17
75201,LOST PROPERTY,2,2086,11
75201,LOST PROPERTY,3,2086,13
75201,LOST PROPERTY,U,2086,7
75201,MOTOR VEHICLE ACCIDENT,1,2086,57
75201,MOTOR VEHICLE ACCIDENT,2,2086,20
75201,MOTOR VEHICLE ACCIDENT,3,2086,48
75201,MOTOR VEHICLE ACCIDENT,U,2086,4
75006,FOUND PROPERTY,U,2044,1
75006,OTHER OFFENSES,U,2044,1
75080,ASSAULT,3,1685,1
75080,FOUND PROPERTY,1,1685,1
75229,ROBBERY,U,1669,1
75229,SUDDEN DEATH,1,1669,4
75229,SUDDEN DEATH,2,1669,6
75229,SUDDEN DEATH,3,1669,3
75229,SUDDEN DEATH,U,1669,2
75229,THEFT,1,1669,159
75229,THEFT,2,1669,93
75229,THEFT,3,1669,99
75229,THEFT,U,1669,54
75229,TRAFFIC FATALITY,2,1669,1
75229,WEAPONS,3,1669,2
75229,ACCIDENTAL INJURY,1,1669,10
75229,ACCIDENTAL INJURY,2,1669,1
75229,ACCIDENTAL INJURY,3,1669,10
75229,AGGRAVATED ASSAULT,1,1669,12
75229,AGGRAVATED ASSAULT,2,1669,2
75229,AGGRAVATED ASSAULT,3,1669,4
75229,ANIMAL BITE,2,1669,1
75229,ANIMAL BITE,3,1669,1
75229,ARSON,1,1669,3
75229,ARSON,2,1669,1
75229,ARSON,U,1669,1
75229,ASSAULT,1,1669,25
75229,ASSAULT,2,1669,15
75229,ASSAULT,3,1669,14
75229,AUTO THEFT - UUMV,1,1669,39
75229,AUTO THEFT - UUMV,2,1669,28
75229,AUTO THEFT - UUMV,3,1669,32
75229,AUTO THEFT - UUMV,U,1669,22
75229,BURGLARY,1,1669,45
75229,BURGLARY,2,1669,25
75229,BURGLARY,3,1669,20
75229,BURGLARY,U,1669,52
75229,CRIMINAL MISCHIEF/VANDALISM,1,1669,58
75229,CRIMINAL MISCHIEF/VANDALISM,2,1669,23
75229,CRIMINAL MISCHIEF/VANDALISM,3,1669,45
75229,CRIMINAL MISCHIEF/VANDALISM,U,1669,23
75229,DISORDERLY CONDUCT,1,1669,2
75229,DISORDERLY CONDUCT,2,1669,3
75229,DISORDERLY CONDUCT,3,1669,2
75229,DISORDERLY CONDUCT,U,1669,1
75229,DWI,1,1669,6
75229,DWI,2,1669,2
75229,DWI,3,1669,1
75229,EMBEZZLEMENT,1,1669,5
75229,EMBEZZLEMENT,2,1669,2
75229,EMBEZZLEMENT,U,1669,4
75229,FIREARMS ACCIDENT,3,1669,1
75229,FORGERY & COUNTERFEIT,1,1669,2
75229,FORGERY & COUNTERFEIT,2,1669,2
75229,FORGERY & COUNTERFEIT,3,1669,2
75229,FOUND PROPERTY,1,1669,46
75229,FOUND PROPERTY,2,1669,28
75229,FOUND PROPERTY,3,1669,31
75229,FOUND PROPERTY,U,1669,10
75229,FRAUD,1,1669,4
75229,FRAUD,2,1669,3
75229,FRAUD,3,1669,2
75229,FRAUD,U,1669,4
75229,HOME ACCIDENT,1,1669,3
75229,HOME ACCIDENT,2,1669,1
75229,LOST PROPERTY,1,1669,5
75229,LOST PROPERTY,2,1669,6
75229,LOST PROPERTY,3,1669,2
75229,MOTOR VEHICLE ACCIDENT,1,1669,66
75229,MOTOR VEHICLE ACCIDENT,2,1669,43
75229,MOTOR VEHICLE ACCIDENT,3,1669,46
75229,MOTOR VEHICLE ACCIDENT,U,1669,2
75229,MURDER,1,1669,1
75229,NARCOTICS/DRUGS,3,1669,5
75229,OTHER OFFENSES,1,1669,5
75229,OTHER OFFENSES,2,1669,6
75229,OTHER OFFENSES,3,1669,10
75229,ROBBERY,1,1669,25
75229,ROBBERY,2,1669,9
75229,ROBBERY,3,1669,19
75001,MOTOR VEHICLE ACCIDENT,1,1663,1
75001,MOTOR VEHICLE ACCIDENT,3,1663,1
75240,THEFT,U,1634,44
75240,ACCIDENTAL INJURY,1,1634,7
75240,ACCIDENTAL INJURY,3,1634,10
75240,AGGRAVATED ASSAULT,1,1634,3
75240,AGGRAVATED ASSAULT,2,1634,1
75240,AGGRAVATED ASSAULT,3,1634,9
75240,AGGRAVATED ASSAULT,U,1634,1
75240,ANIMAL BITE,2,1634,1
75240,ARSON,1,1634,2
75240,ASSAULT,1,1634,10
75240,ASSAULT,2,1634,16
75240,ASSAULT,3,1634,20
75240,AUTO THEFT - UUMV,1,1634,39
75240,AUTO THEFT - UUMV,2,1634,7
75240,AUTO THEFT - UUMV,3,1634,15
75240,AUTO THEFT - UUMV,U,1634,11
75240,BURGLARY,1,1634,15
75240,BURGLARY,2,1634,17
75240,BURGLARY,3,1634,19
75240,BURGLARY,U,1634,17
75240,CRIMINAL MISCHIEF/VANDALISM,1,1634,87
75240,CRIMINAL MISCHIEF/VANDALISM,2,1634,38
75240,CRIMINAL MISCHIEF/VANDALISM,3,1634,94
75240,CRIMINAL MISCHIEF/VANDALISM,U,1634,27
75240,DISORDERLY CONDUCT,1,1634,1
75240,DISORDERLY CONDUCT,2,1634,3
75240,DISORDERLY CONDUCT,3,1634,1
75240,DISORDERLY CONDUCT,U,1634,2
75240,DWI,1,1634,10
75240,DWI,2,1634,1
75240,DWI,3,1634,3
75240,EMBEZZLEMENT,1,1634,2
75240,EMBEZZLEMENT,2,1634,3
75240,EMBEZZLEMENT,3,1634,4
75240,EMBEZZLEMENT,U,1634,5
75240,FORGERY & COUNTERFEIT,2,1634,1
75240,FORGERY & COUNTERFEIT,3,1634,4
75240,FORGERY & COUNTERFEIT,U,1634,3
75240,FOUND PROPERTY,1,1634,22
75240,FOUND PROPERTY,2,1634,22
75240,FOUND PROPERTY,3,1634,29
75240,FOUND PROPERTY,U,1634,4
75240,FRAUD,1,1634,2
75240,FRAUD,2,1634,6
75240,FRAUD,3,1634,4
75240,FRAUD,U,1634,1
75240,HOME ACCIDENT,1,1634,1
75240,HOME ACCIDENT,2,1634,1
75240,HOME ACCIDENT,3,1634,1
75240,LOST PROPERTY,1,1634,5
75240,LOST PROPERTY,2,1634,3
75240,LOST PROPERTY,3,1634,9
75240,LOST PROPERTY,U,1634,3
75240,MOTOR VEHICLE ACCIDENT,1,1634,36
75240,MOTOR VEHICLE ACCIDENT,2,1634,53
75240,MOTOR VEHICLE ACCIDENT,3,1634,70
75240,MOTOR VEHICLE ACCIDENT,U,1634,3
75240,MURDER,3,1634,1
75240,NARCOTICS/DRUGS,1,1634,1
75240,NARCOTICS/DRUGS,3,1634,3
75240,OTHER OFFENSES,1,1634,5
75240,OTHER OFFENSES,2,1634,6
75240,OTHER OFFENSES,3,1634,4
75240,ROBBERY,1,1634,8
75240,ROBBERY,2,1634,6
75240,ROBBERY,3,1634,12
75240,SUDDEN DEATH,1,1634,8
75240,SUDDEN DEATH,2,1634,1
75240,SUDDEN DEATH,3,1634,1
75240,SUDDEN DEATH,U,1634,2
75240,THEFT,1,1634,124
75240,THEFT,2,1634,110
75240,THEFT,3,1634,116
75225,FRAUD,3,1624,6
75225,WEAPONS,3,1624,1
75225,THEFT,U,1624,13
75225,THEFT,3,1624,117
75225,THEFT,2,1624,102
75225,THEFT,1,1624,31
75225,SUDDEN DEATH,U,1624,2
75225,SUDDEN DEATH,3,1624,3
75225,SUDDEN DEATH,2,1624,2
75225,SUDDEN DEATH,1,1624,6
75225,ROBBERY,3,1624,6
75225,ROBBERY,2,1624,1
75225,OTHER OFFENSES,3,1624,2
75225,OTHER OFFENSES,2,1624,3
75225,OTHER OFFENSES,1,1624,1
75225,MOTOR VEHICLE ACCIDENT,U,1624,2
75225,MOTOR VEHICLE ACCIDENT,3,1624,16
75225,MOTOR VEHICLE ACCIDENT,2,1624,25
75225,MOTOR VEHICLE ACCIDENT,1,1624,7
75225,LOST PROPERTY,3,1624,5
75225,LOST PROPERTY,2,1624,3
75225,LOST PROPERTY,1,1624,1
75225,FRAUD,U,1624,3
75225,ACCIDENTAL INJURY,2,1624,1
75225,ACCIDENTAL INJURY,3,1624,2
75225,AGGRAVATED ASSAULT,2,1624,1
75225,AGGRAVATED ASSAULT,3,1624,1
75225,ASSAULT,1,1624,2
75225,ASSAULT,2,1624,2
75225,ASSAULT,3,1624,2
75225,AUTO THEFT - UUMV,1,1624,2
75225,AUTO THEFT - UUMV,2,1624,7
75225,AUTO THEFT - UUMV,3,1624,9
75225,AUTO THEFT - UUMV,U,1624,5
75225,BURGLARY,1,1624,8
75225,BURGLARY,2,1624,3
75225,BURGLARY,3,1624,2
75225,BURGLARY,U,1624,7
75225,CRIMINAL MISCHIEF/VANDALISM,1,1624,9
75225,CRIMINAL MISCHIEF/VANDALISM,2,1624,13
75225,CRIMINAL MISCHIEF/VANDALISM,3,1624,17
75225,CRIMINAL MISCHIEF/VANDALISM,U,1624,3
75225,DISORDERLY CONDUCT,3,1624,1
75225,DISORDERLY CONDUCT,U,1624,1
75225,DWI,1,1624,4
75225,EMBEZZLEMENT,2,1624,5
75225,EMBEZZLEMENT,3,1624,2
75225,EMBEZZLEMENT,U,1624,7
75225,FORGERY & COUNTERFEIT,3,1624,1
75225,FORGERY & COUNTERFEIT,U,1624,1
75225,FOUND PROPERTY,1,1624,2
75225,FOUND PROPERTY,2,1624,7
75225,FOUND PROPERTY,3,1624,11
75225,FOUND PROPERTY,U,1624,1
75225,FRAUD,1,1624,4
75225,FRAUD,2,1624,1
75206,BURGLARY,3,1554,18
75206,BURGLARY,2,1554,22
75206,BURGLARY,1,1554,45
75206,AUTO THEFT - UUMV,U,1554,27
75206,AUTO THEFT - UUMV,3,1554,12
75206,AUTO THEFT - UUMV,2,1554,13
75206,AUTO THEFT - UUMV,1,1554,43
75206,ASSAULT,3,1554,21
75206,ASSAULT,2,1554,10
75206,ASSAULT,1,1554,20
75206,ARSON,2,1554,1
75206,ARSON,1,1554,2
75206,ANIMAL BITE,3,1554,4
75206,ANIMAL BITE,2,1554,2
75206,AGGRAVATED ASSAULT,3,1554,4
75206,AGGRAVATED ASSAULT,2,1554,3
75206,AGGRAVATED ASSAULT,1,1554,10
75206,ACCIDENTAL INJURY,3,1554,10
75206,ACCIDENTAL INJURY,2,1554,6
75206,ACCIDENTAL INJURY,1,1554,9
75206,WEAPONS,3,1554,1
75206,THEFT,U,1554,100
75206,THEFT,3,1554,112
75206,THEFT,2,1554,90
75206,THEFT,1,1554,214
75206,SUDDEN DEATH,U,1554,3
75206,SUDDEN DEATH,3,1554,2
75206,SUDDEN DEATH,2,1554,6
75206,SUDDEN DEATH,1,1554,2
75206,ROBBERY,3,1554,22
75206,ROBBERY,2,1554,7
75206,ROBBERY,1,1554,19
75206,OTHER OFFENSES,U,1554,2
75206,OTHER OFFENSES,3,1554,10
75206,OTHER OFFENSES,2,1554,10
75206,OTHER OFFENSES,1,1554,8
75206,NARCOTICS/DRUGS,3,1554,1
75206,NARCOTICS/DRUGS,2,1554,1
75206,MURDER,1,1554,1
75206,MOTOR VEHICLE ACCIDENT,U,1554,5
75206,MOTOR VEHICLE ACCIDENT,3,1554,75
75206,MOTOR VEHICLE ACCIDENT,2,1554,58
75206,MOTOR VEHICLE ACCIDENT,1,1554,42
75206,LOST PROPERTY,U,1554,2
75206,LOST PROPERTY,3,1554,5
75206,LOST PROPERTY,2,1554,2
75206,LOST PROPERTY,1,1554,2
75206,HOME ACCIDENT,3,1554,4
75206,HOME ACCIDENT,2,1554,3
75206,HOME ACCIDENT,1,1554,3
75206,FRAUD,U,1554,1
75206,FRAUD,3,1554,5
75206,FRAUD,2,1554,4
75206,FRAUD,1,1554,6
75206,FOUND PROPERTY,U,1554,4
75206,FOUND PROPERTY,3,1554,28
75206,FOUND PROPERTY,2,1554,30
75206,FOUND PROPERTY,1,1554,22
75206,FORGERY & COUNTERFEIT,U,1554,2
75206,FORGERY & COUNTERFEIT,3,1554,6
75206,FORGERY & COUNTERFEIT,2,1554,6
75206,FORGERY & COUNTERFEIT,1,1554,4
75206,EMBEZZLEMENT,U,1554,5
75206,EMBEZZLEMENT,3,1554,1
75206,EMBEZZLEMENT,1,1554,1
75206,DWI,3,1554,3
75206,DWI,2,1554,2
75206,DWI,1,1554,5
75206,DISORDERLY CONDUCT,U,1554,1
75206,DISORDERLY CONDUCT,3,1554,2
75206,CRIMINAL MISCHIEF/VANDALISM,U,1554,23
75206,CRIMINAL MISCHIEF/VANDALISM,3,1554,39
75206,CRIMINAL MISCHIEF/VANDALISM,2,1554,23
75206,CRIMINAL MISCHIEF/VANDALISM,1,1554,80
75206,CHILD (OFFENSES AGAINST),3,1554,1
75206,BURGLARY,U,1554,36
75243,OTHER OFFENSES,2,1540,17
75243,OTHER OFFENSES,3,1540,26
75243,OTHER OFFENSES,U,1540,1
75243,ROBBERY,1,1540,45
75243,ROBBERY,2,1540,30
75243,ROBBERY,3,1540,53
75243,ROBBERY,U,1540,2
75243,SUDDEN DEATH,1,1540,5
75243,SUDDEN DEATH,2,1540,9
75243,SUDDEN DEATH,3,1540,2
75243,SUDDEN DEATH,U,1540,7
75243,THEFT,1,1540,192
75243,THEFT,2,1540,126
75243,THEFT,3,1540,158
75243,THEFT,U,1540,94
75243,TRAFFIC FATALITY,1,1540,2
75243,TRAFFIC FATALITY,2,1540,2
75243,TRAFFIC FATALITY,3,1540,1
75243,WEAPONS,1,1540,1
75243,WEAPONS,3,1540,1
75243,ACCIDENTAL INJURY,1,1540,13
75243,ACCIDENTAL INJURY,2,1540,8
75243,ACCIDENTAL INJURY,3,1540,13
75243,AGGRAVATED ASSAULT,1,1540,14
75243,AGGRAVATED ASSAULT,2,1540,14
75243,AGGRAVATED ASSAULT,3,1540,13
75243,ANIMAL BITE,2,1540,1
75243,ANIMAL BITE,3,1540,2
75243,ARSON,1,1540,3
75243,ARSON,3,1540,1
75243,ARSON,U,1540,1
75243,ASSAULT,1,1540,31
75243,ASSAULT,2,1540,32
75243,ASSAULT,3,1540,55
75243,ASSAULT,U,1540,1
75243,AUTO THEFT - UUMV,1,1540,74
75243,AUTO THEFT - UUMV,2,1540,26
75243,AUTO THEFT - UUMV,3,1540,39
75243,AUTO THEFT - UUMV,U,1540,28
75243,BURGLARY,1,1540,82
75243,BURGLARY,2,1540,56
75243,BURGLARY,3,1540,65
75243,BURGLARY,U,1540,73
75243,CHILD (OFFENSES AGAINST),1,1540,1
75243,CHILD (OFFENSES AGAINST),3,1540,3
75243,CRIMINAL MISCHIEF/VANDALISM,1,1540,208
75243,CRIMINAL MISCHIEF/VANDALISM,2,1540,110
75243,CRIMINAL MISCHIEF/VANDALISM,3,1540,131
75243,CRIMINAL MISCHIEF/VANDALISM,U,1540,50
75243,DISORDERLY CONDUCT,1,1540,9
75243,DISORDERLY CONDUCT,2,1540,4
75243,DISORDERLY CONDUCT,3,1540,7
75243,DISORDERLY CONDUCT,U,1540,8
75243,DWI,1,1540,9
75243,DWI,3,1540,7
75243,EMBEZZLEMENT,1,1540,1
75243,EMBEZZLEMENT,2,1540,6
75243,EMBEZZLEMENT,3,1540,2
75243,EMBEZZLEMENT,U,1540,7
75243,FIREARMS ACCIDENT,1,1540,3
75243,FIREARMS ACCIDENT,2,1540,3
75243,FORGERY & COUNTERFEIT,1,1540,9
75243,FORGERY & COUNTERFEIT,2,1540,10
75243,FORGERY & COUNTERFEIT,3,1540,5
75243,FOUND PROPERTY,1,1540,57
75243,FOUND PROPERTY,2,1540,53
75243,FOUND PROPERTY,3,1540,61
75243,FOUND PROPERTY,U,1540,9
75243,FRAUD,1,1540,20
75243,FRAUD,2,1540,11
75243,FRAUD,3,1540,14
75243,FRAUD,U,1540,2
75243,HOME ACCIDENT,1,1540,8
75243,HOME ACCIDENT,2,1540,2
75243,HOME ACCIDENT,3,1540,6
75243,LIQUOR,3,1540,2
75243,LOST PROPERTY,1,1540,6
75243,LOST PROPERTY,2,1540,4
75243,LOST PROPERTY,3,1540,12
75243,LOST PROPERTY,U,1540,5
75243,MOTOR VEHICLE ACCIDENT,1,1540,73
75243,MOTOR VEHICLE ACCIDENT,2,1540,83
75243,MOTOR VEHICLE ACCIDENT,3,1540,79
75243,MOTOR VEHICLE ACCIDENT,U,1540,2
75243,MURDER,1,1540,2
75243,MURDER,3,1540,2
75243,NARCOTICS/DRUGS,1,1540,4
75243,NARCOTICS/DRUGS,3,1540,8
75243,OTHER OFFENSES,1,1540,12
75231,DWI,1,1494,12
75231,DWI,2,1494,1
75231,DWI,3,1494,5
75231,EMBEZZLEMENT,1,1494,1
75231,EMBEZZLEMENT,2,1494,4
75231,EMBEZZLEMENT,3,1494,2
75231,EMBEZZLEMENT,U,1494,7
75231,FIREARMS ACCIDENT,1,1494,2
75231,FORGERY & COUNTERFEIT,1,1494,3
75231,FORGERY & COUNTERFEIT,2,1494,6
75231,FORGERY & COUNTERFEIT,3,1494,2
75231,FORGERY & COUNTERFEIT,U,1494,1
75231,FOUND PROPERTY,1,1494,33
75231,FOUND PROPERTY,2,1494,28
75231,FOUND PROPERTY,3,1494,34
75231,FOUND PROPERTY,U,1494,4
75231,FRAUD,1,1494,13
75231,FRAUD,2,1494,5
75231,FRAUD,3,1494,3
75231,FRAUD,U,1494,3
75231,HOME ACCIDENT,1,1494,3
75231,HOME ACCIDENT,2,1494,4
75231,ASSAULT,U,1494,2
75231,ASSAULT,3,1494,43
75231,ASSAULT,2,1494,29
75231,ASSAULT,1,1494,16
75231,ARSON,3,1494,1
75231,ANIMAL BITE,3,1494,2
75231,ANIMAL BITE,2,1494,3
75231,ANIMAL BITE,1,1494,1
75231,AGGRAVATED ASSAULT,U,1494,1
75231,AGGRAVATED ASSAULT,3,1494,8
75231,AGGRAVATED ASSAULT,2,1494,10
75231,AGGRAVATED ASSAULT,1,1494,9
75231,ACCIDENTAL INJURY,3,1494,14
75231,ACCIDENTAL INJURY,2,1494,6
75231,ACCIDENTAL INJURY,1,1494,6
75231,HOME ACCIDENT,3,1494,6
75231,LOST PROPERTY,1,1494,4
75231,LOST PROPERTY,2,1494,6
75231,LOST PROPERTY,3,1494,4
75231,LOST PROPERTY,U,1494,2
75231,MOTOR VEHICLE ACCIDENT,1,1494,35
75231,MOTOR VEHICLE ACCIDENT,2,1494,44
75231,MOTOR VEHICLE ACCIDENT,3,1494,40
75231,MOTOR VEHICLE ACCIDENT,U,1494,3
75231,MURDER,2,1494,1
75231,MURDER,3,1494,1
75231,NARCOTICS/DRUGS,1,1494,1
75231,NARCOTICS/DRUGS,2,1494,2
75231,NARCOTICS/DRUGS,3,1494,1
75231,OCCUPATIONAL ACCIDENT,1,1494,1
75231,OCCUPATIONAL ACCIDENT,3,1494,1
75231,OTHER OFFENSES,1,1494,11
75231,OTHER OFFENSES,2,1494,6
75231,OTHER OFFENSES,3,1494,18
75231,OTHER OFFENSES,U,1494,2
75231,ROBBERY,1,1494,39
75231,ROBBERY,2,1494,15
75231,ROBBERY,3,1494,39
75231,SUDDEN DEATH,1,1494,10
75231,SUDDEN DEATH,2,1494,6
75231,SUDDEN DEATH,3,1494,4
75231,SUDDEN DEATH,U,1494,3
75231,THEFT,1,1494,171
75231,THEFT,2,1494,121
75231,THEFT,3,1494,154
75231,THEFT,U,1494,49
75231,TRAFFIC FATALITY,1,1494,1
75231,TRAFFIC FATALITY,2,1494,1
75231,TRAFFIC FATALITY,3,1494,2
75231,WEAPONS,1,1494,1
75231,WEAPONS,2,1494,1
75231,WEAPONS,3,1494,1
75231,AUTO THEFT - UUMV,1,1494,59
75231,AUTO THEFT - UUMV,2,1494,21
75231,AUTO THEFT - UUMV,3,1494,22
75231,AUTO THEFT - UUMV,U,1494,11
75231,BURGLARY,1,1494,82
75231,BURGLARY,2,1494,36
75231,BURGLARY,3,1494,50
75231,BURGLARY,U,1494,29
75231,CHILD (OFFENSES AGAINST),3,1494,1
75231,CRIMINAL MISCHIEF/VANDALISM,1,1494,162
75231,CRIMINAL MISCHIEF/VANDALISM,2,1494,67
75231,CRIMINAL MISCHIEF/VANDALISM,3,1494,116
75231,CRIMINAL MISCHIEF/VANDALISM,U,1494,43
75231,DISORDERLY CONDUCT,1,1494,4
75231,DISORDERLY CONDUCT,2,1494,6
75231,DISORDERLY CONDUCT,3,1494,8
75231,DISORDERLY CONDUCT,U,1494,2
75234,FORGERY & COUNTERFEIT,1,1484,1
75234,FOUND PROPERTY,1,1484,9
75234,FOUND PROPERTY,2,1484,4
75234,FOUND PROPERTY,3,1484,12
75234,FOUND PROPERTY,U,1484,1
75234,LOST PROPERTY,3,1484,1
75234,MOTOR VEHICLE ACCIDENT,1,1484,12
75234,MOTOR VEHICLE ACCIDENT,2,1484,9
75234,MOTOR VEHICLE ACCIDENT,3,1484,13
75234,MOTOR VEHICLE ACCIDENT,U,1484,1
75234,OTHER OFFENSES,2,1484,1
75234,OTHER OFFENSES,3,1484,1
75234,ROBBERY,1,1484,1
75234,ROBBERY,2,1484,1
75234,ROBBERY,3,1484,5
75234,SUDDEN DEATH,1,1484,1
75234,THEFT,1,1484,10
75234,THEFT,2,1484,13
75234,THEFT,3,1484,7
75234,THEFT,U,1484,5
75234,FORGERY & COUNTERFEIT,3,1484,1
75234,ACCIDENTAL INJURY,3,1484,1
75234,AGGRAVATED ASSAULT,3,1484,2
75234,ASSAULT,1,1484,4
75234,ASSAULT,2,1484,1
75234,ASSAULT,3,1484,2
75234,AUTO THEFT - UUMV,1,1484,1
75234,AUTO THEFT - UUMV,2,1484,2
75234,AUTO THEFT - UUMV,3,1484,5
75234,AUTO THEFT - UUMV,U,1484,2
75234,BURGLARY,1,1484,4
75234,BURGLARY,3,1484,1
75234,BURGLARY,U,1484,5
75234,CRIMINAL MISCHIEF/VANDALISM,1,1484,7
75234,CRIMINAL MISCHIEF/VANDALISM,2,1484,1
75234,CRIMINAL MISCHIEF/VANDALISM,3,1484,2
75234,CRIMINAL MISCHIEF/VANDALISM,U,1484,2
75234,DISORDERLY CONDUCT,U,1484,1
75234,EMBEZZLEMENT,U,1484,1
75075,FIREARMS ACCIDENT,1,1459,1
75219,ASSAULT,1,1361,23
75219,ASSAULT,3,1361,26
75219,AUTO THEFT - UUMV,1,1361,35
75219,AUTO THEFT - UUMV,2,1361,8
75219,AUTO THEFT - UUMV,3,1361,16
75219,AUTO THEFT - UUMV,U,1361,10
75219,BURGLARY,1,1361,39
75219,BURGLARY,2,1361,14
75219,BURGLARY,3,1361,15
75219,BURGLARY,U,1361,24
75219,CHILD (OFFENSES AGAINST),3,1361,2
75219,CRIMINAL MISCHIEF/VANDALISM,1,1361,56
75219,CRIMINAL MISCHIEF/VANDALISM,2,1361,23
75219,CRIMINAL MISCHIEF/VANDALISM,3,1361,28
75219,CRIMINAL MISCHIEF/VANDALISM,U,1361,17
75219,DISORDERLY CONDUCT,1,1361,2
75219,DISORDERLY CONDUCT,2,1361,2
75219,DISORDERLY CONDUCT,3,1361,2
75219,DISORDERLY CONDUCT,U,1361,6
75219,DWI,1,1361,17
75219,DWI,2,1361,1
75219,DWI,3,1361,6
75219,EMBEZZLEMENT,1,1361,3
75219,EMBEZZLEMENT,3,1361,1
75219,EMBEZZLEMENT,U,1361,1
75219,FIREARMS ACCIDENT,1,1361,1
75219,FIREARMS ACCIDENT,2,1361,1
75219,FIREARMS ACCIDENT,3,1361,2
75219,FORGERY & COUNTERFEIT,2,1361,1
75219,FORGERY & COUNTERFEIT,3,1361,2
75219,FOUND PROPERTY,1,1361,13
75219,FOUND PROPERTY,2,1361,12
75219,FOUND PROPERTY,3,1361,15
75219,FOUND PROPERTY,U,1361,4
75219,FRAUD,1,1361,3
75219,FRAUD,2,1361,3
75219,FRAUD,U,1361,1
75219,HOME ACCIDENT,1,1361,2
75219,HOME ACCIDENT,3,1361,3
75219,LIQUOR,3,1361,2
75219,LOST PROPERTY,1,1361,4
75219,LOST PROPERTY,2,1361,3
75219,LOST PROPERTY,3,1361,2
75219,LOST PROPERTY,U,1361,2
75219,MOTOR VEHICLE ACCIDENT,1,1361,50
75219,MOTOR VEHICLE ACCIDENT,2,1361,21
75219,MOTOR VEHICLE ACCIDENT,3,1361,48
75219,MURDER,3,1361,1
75219,NARCOTICS/DRUGS,3,1361,2
75219,OTHER OFFENSES,1,1361,6
75219,OTHER OFFENSES,2,1361,6
75219,OTHER OFFENSES,3,1361,6
75219,OTHER OFFENSES,U,1361,1
75219,ROBBERY,1,1361,18
75219,ROBBERY,2,1361,3
75219,ROBBERY,3,1361,20
75219,SUDDEN DEATH,1,1361,3
75219,SUDDEN DEATH,2,1361,7
75219,SUDDEN DEATH,U,1361,2
75219,THEFT,1,1361,132
75219,THEFT,2,1361,48
75219,THEFT,3,1361,67
75219,THEFT,U,1361,75
75219,WEAPONS,1,1361,1
75219,ASSAULT,2,1361,9
75219,ACCIDENTAL INJURY,1,1361,20
75219,ACCIDENTAL INJURY,2,1361,3
75219,ACCIDENTAL INJURY,3,1361,6
75219,AGGRAVATED ASSAULT,1,1361,5
75219,AGGRAVATED ASSAULT,3,1361,5
75219,ANIMAL BITE,1,1361,1
75219,ANIMAL BITE,2,1361,1
75219,ARSON,U,1361,1
75150,FRAUD,1,1265,1
