zip_code,watch,ucr_offense_description,c3
75201,1,DISORDERLY CONDUCT,3
75201,1,DWI,30
75201,1,EMBEZZLEMENT,6
75201,1,FORGERY & COUNTERFEIT,3
75201,1,FOUND PROPERTY,57
75201,1,FRAUD,10
75201,1,HOME ACCIDENT,3
75201,1,LIQUOR,3
75201,1,LOST PROPERTY,38
75201,1,MOTOR VEHICLE ACCIDENT,110
75201,1,NARCOTICS/DRUGS,1
75201,1,OTHER OFFENSES,23
75201,1,ROBBERY,32
75201,1,SUDDEN DEATH,9
75201,1,THEFT,343
75201,1,WEAPONS,1
75201,2,ACCIDENTAL INJURY,23
75201,2,AGGRAVATED ASSAULT,12
75201,2,ANIMAL BITE,2
75201,2,ARSON,2
75201,2,ASSAULT,76
75201,2,AUTO THEFT - UUMV,51
75201,2,BURGLARY,27
75201,2,CHILD (OFFENSES AGAINST),2
75201,2,CRIMINAL MISCHIEF/VANDALISM,85
75201,2,DISORDERLY CONDUCT,9
75201,2,DWI,3
75201,2,EMBEZZLEMENT,2
75201,2,FORGERY & COUNTERFEIT,7
75201,2,FOUND PROPERTY,92
75201,2,FRAUD,9
75201,2,HOME ACCIDENT,1
75201,2,LOST PROPERTY,31
75201,2,MOTOR VEHICLE ACCIDENT,107
75201,2,NARCOTICS/DRUGS,4
75201,2,OTHER OFFENSES,31
75201,2,ROBBERY,14
75201,2,SUDDEN DEATH,8
75201,2,THEFT,280
75201,2,TRAFFIC FATALITY,2
75201,3,ACCIDENTAL INJURY,27
75201,3,AGGRAVATED ASSAULT,18
75201,3,ANIMAL BITE,3
75201,3,ASSAULT,93
75201,3,AUTO THEFT - UUMV,47
75201,3,BURGLARY,32
75201,3,CHILD (OFFENSES AGAINST),1
75201,3,CRIMINAL MISCHIEF/VANDALISM,93
75201,3,DISORDERLY CONDUCT,3
75201,3,DWI,16
75201,3,EMBEZZLEMENT,8
75201,3,FIREARMS ACCIDENT,2
75201,3,FORGERY & COUNTERFEIT,9
75201,3,FOUND PROPERTY,71
75201,3,FRAUD,9
75201,3,HOME ACCIDENT,3
75201,3,INTOXICATION MANSLAUGHTER,1
75201,3,LOST PROPERTY,32
75201,3,MOTOR VEHICLE ACCIDENT,159
75201,3,MURDER,1
75201,3,NARCOTICS/DRUGS,4
75201,3,OCCUPATIONAL ACCIDENT,1
75201,3,OTHER OFFENSES,43
75201,3,ROBBERY,25
75201,3,SUDDEN DEATH,4
75201,3,THEFT,247
75201,U,ACCIDENTAL INJURY,1
75201,U,AGGRAVATED ASSAULT,1
75201,U,ASSAULT,2
75201,U,AUTO THEFT - UUMV,40
75201,U,BURGLARY,62
75201,U,CRIMINAL MISCHIEF/VANDALISM,70
75201,U,DISORDERLY CONDUCT,13
75201,U,DWI,1
75201,U,EMBEZZLEMENT,12
75201,U,FORGERY & COUNTERFEIT,2
75201,U,FOUND PROPERTY,22
75201,U,FRAUD,17
75201,U,LOST PROPERTY,26
75201,U,MOTOR VEHICLE ACCIDENT,6
75201,U,OCCUPATIONAL ACCIDENT,1
75201,U,SUDDEN DEATH,6
75201,U,THEFT,241
75202,1,ACCIDENTAL INJURY,21
75202,1,AGGRAVATED ASSAULT,5
75202,1,ASSAULT,43
75202,1,AUTO THEFT - UUMV,42
75202,1,BURGLARY,27
75202,1,CRIMINAL MISCHIEF/VANDALISM,48
75202,1,DISORDERLY CONDUCT,1
75202,1,DWI,13
75202,1,EMBEZZLEMENT,3
75202,1,FORGERY & COUNTERFEIT,5
75202,1,FOUND PROPERTY,36
75202,1,FRAUD,6
75202,1,HOME ACCIDENT,3
75202,1,LOST PROPERTY,20
75202,1,MOTOR VEHICLE ACCIDENT,42
75202,1,NARCOTICS/DRUGS,6
75202,1,OCCUPATIONAL ACCIDENT,1
75202,1,OTHER OFFENSES,20
75202,1,ROBBERY,36
75202,1,SUDDEN DEATH,2
75202,1,THEFT,190
75202,2,ACCIDENTAL INJURY,8
75202,2,AGGRAVATED ASSAULT,6
75202,2,ASSAULT,41
75202,2,AUTO THEFT - UUMV,33
75202,2,BURGLARY,7
75202,2,CHILD (OFFENSES AGAINST),2
75202,2,CRIMINAL MISCHIEF/VANDALISM,78
75202,2,DISORDERLY CONDUCT,4
75202,2,DWI,2
75202,2,EMBEZZLEMENT,4
75202,2,FORGERY & COUNTERFEIT,7
75202,2,FOUND PROPERTY,54
75202,2,FRAUD,13
75202,2,LOST PROPERTY,26
75202,2,MOTOR VEHICLE ACCIDENT,68
75202,2,NARCOTICS/DRUGS,4
75202,2,OTHER OFFENSES,18
75202,2,ROBBERY,11
75202,2,SUDDEN DEATH,4
75202,2,THEFT,276
75202,2,WEAPONS,1
75202,3,ACCIDENTAL INJURY,31
75202,3,AGGRAVATED ASSAULT,14
75202,3,ASSAULT,72
75202,3,AUTO THEFT - UUMV,26
75202,3,BURGLARY,17
75202,3,CHILD (OFFENSES AGAINST),2
75202,3,CRIMINAL MISCHIEF/VANDALISM,64
75202,3,DISORDERLY CONDUCT,6
75202,3,DWI,4
75202,3,EMBEZZLEMENT,10
75202,3,FIREARMS ACCIDENT,1
75202,3,FORGERY & COUNTERFEIT,9
75202,3,FOUND PROPERTY,62
75202,3,FRAUD,15
75202,3,LOST PROPERTY,33
75202,3,MOTOR VEHICLE ACCIDENT,59
75202,3,NARCOTICS/DRUGS,9
75202,3,OCCUPATIONAL ACCIDENT,1
75202,3,OTHER OFFENSES,40
75202,3,ROBBERY,37
75202,3,SUDDEN DEATH,2
75202,3,THEFT,186
75202,U,ASSAULT,1
75202,U,AUTO THEFT - UUMV,20
75202,U,BURGLARY,18
75202,U,CHILD (OFFENSES AGAINST),1
75202,U,CRIMINAL MISCHIEF/VANDALISM,16
75202,U,DISORDERLY CONDUCT,3
75202,U,EMBEZZLEMENT,4
75202,U,FORGERY & COUNTERFEIT,1
75202,U,FOUND PROPERTY,9
75202,U,FRAUD,13
75202,U,LOST PROPERTY,7
75202,U,MOTOR VEHICLE ACCIDENT,1
75202,U,OTHER OFFENSES,1
75202,U,ROBBERY,2
75202,U,SUDDEN DEATH,1
75202,U,THEFT,118
75203,1,ACCIDENTAL INJURY,22
75203,1,AGGRAVATED ASSAULT,27
75203,1,ANIMAL BITE,2
75203,1,ARSON,7
75203,1,ASSAULT,30
75203,1,AUTO THEFT - UUMV,116
75203,1,BURGLARY,125
75203,1,CRIMINAL MISCHIEF/VANDALISM,138
75203,1,DISORDERLY CONDUCT,3
75203,1,DWI,5
75203,1,EMBEZZLEMENT,1
75203,1,FIREARMS ACCIDENT,2
75203,1,FORGERY & COUNTERFEIT,1
75203,1,FOUND PROPERTY,82
75203,1,FRAUD,3
75203,1,HOME ACCIDENT,7
75203,1,LOST PROPERTY,12
75203,1,MOTOR VEHICLE ACCIDENT,54
75203,1,MURDER,1
75203,1,NARCOTICS/DRUGS,3
75203,1,OTHER OFFENSES,19
75203,1,ROBBERY,66
75203,1,SUDDEN DEATH,15
75203,1,THEFT,240
75203,2,ACCIDENTAL INJURY,17
75203,2,AGGRAVATED ASSAULT,17
75203,2,ANIMAL BITE,3
75203,2,ARSON,3
75203,2,ASSAULT,52
75203,2,AUTO THEFT - UUMV,57
75203,2,BURGLARY,106
75203,2,CHILD (OFFENSES AGAINST),1
75203,2,CRIMINAL MISCHIEF/VANDALISM,77
75203,2,DISORDERLY CONDUCT,13
75203,2,EMBEZZLEMENT,1
75203,2,FIREARMS ACCIDENT,7
75203,2,FORGERY & COUNTERFEIT,4
75203,2,FOUND PROPERTY,169
75203,2,FRAUD,5
75203,2,HOME ACCIDENT,5
75203,2,LOST PROPERTY,10
75203,2,MOTOR VEHICLE ACCIDENT,73
75203,2,NARCOTICS/DRUGS,1
75203,2,OTHER OFFENSES,41
75203,2,ROBBERY,28
75203,2,SUDDEN DEATH,12
75203,2,THEFT,146
75203,3,ACCIDENTAL INJURY,22
75203,3,AGGRAVATED ASSAULT,31
75203,3,ANIMAL BITE,6
75203,3,ARSON,5
75203,3,ASSAULT,73
75203,3,AUTO THEFT - UUMV,44
75203,3,BURGLARY,63
75203,3,CHILD (OFFENSES AGAINST),1
75203,3,CRIMINAL MISCHIEF/VANDALISM,115
75203,3,DISORDERLY CONDUCT,11
75203,3,DWI,5
75203,3,FIREARMS ACCIDENT,4
75203,3,FORGERY & COUNTERFEIT,2
75203,3,FOUND PROPERTY,126
75203,3,FRAUD,5
75203,3,HOME ACCIDENT,5
75203,3,LOST PROPERTY,5
75203,3,MOTOR VEHICLE ACCIDENT,104
75203,3,NARCOTICS/DRUGS,5
75203,3,OCCUPATIONAL ACCIDENT,1
75203,3,OTHER OFFENSES,48
75203,3,ROBBERY,81
75203,3,SUDDEN DEATH,6
75203,3,THEFT,139
75203,3,TRAFFIC FATALITY,1
75203,3,WEAPONS,2
75203,U,ACCIDENTAL INJURY,2
75203,U,ASSAULT,2
75203,U,AUTO THEFT - UUMV,33
75203,U,BURGLARY,90
75203,U,CRIMINAL MISCHIEF/VANDALISM,44
75203,U,DISORDERLY CONDUCT,8
75203,U,EMBEZZLEMENT,4
75203,U,FORGERY & COUNTERFEIT,1
75203,U,FOUND PROPERTY,34
75203,U,FRAUD,1
75203,U,LOST PROPERTY,8
75203,U,MOTOR VEHICLE ACCIDENT,5
75203,U,OTHER OFFENSES,5
75203,U,SUDDEN DEATH,6
75203,U,THEFT,112
75204,1,ACCIDENTAL INJURY,35
75204,1,AGGRAVATED ASSAULT,31
75204,1,ANIMAL BITE,1
75204,1,ARSON,4
75204,1,ASSAULT,79
75204,1,AUTO THEFT - UUMV,188
75204,1,BURGLARY,159
75204,1,CRIMINAL MISCHIEF/VANDALISM,255
75204,1,DISORDERLY CONDUCT,5
75204,1,DWI,39
75204,1,EMBEZZLEMENT,4
75204,1,FIREARMS ACCIDENT,1
75204,1,FOUND PROPERTY,100
75204,1,FRAUD,10
75204,1,HOME ACCIDENT,8
75204,1,INTOXICATION MANSLAUGHTER,1
75204,1,LOST PROPERTY,27
75204,1,MOTOR VEHICLE ACCIDENT,148
75204,1,NARCOTICS/DRUGS,7
75204,1,OTHER OFFENSES,39
75204,1,ROBBERY,67
75204,1,SUDDEN DEATH,13
75204,1,THEFT,899
75204,1,WEAPONS,1
75204,2,ACCIDENTAL INJURY,10
75204,2,AGGRAVATED ASSAULT,9
75204,2,ANIMAL BITE,2
75204,2,ARSON,1
75204,2,ASSAULT,54
75204,2,AUTO THEFT - UUMV,65
75204,2,BURGLARY,159
75204,2,CHILD (OFFENSES AGAINST),1
75204,2,CRIMINAL MISCHIEF/VANDALISM,134
75204,2,DISORDERLY CONDUCT,11
75204,2,DWI,5
75204,2,EMBEZZLEMENT,5
75204,2,FORGERY & COUNTERFEIT,8
75204,2,FOUND PROPERTY,138
75204,2,FRAUD,9
75204,2,HOME ACCIDENT,4
75204,2,LIQUOR,1
75204,2,LOST PROPERTY,20
75204,2,MOTOR VEHICLE ACCIDENT,173
75204,2,NARCOTICS/DRUGS,1
75204,2,OTHER OFFENSES,24
75204,2,ROBBERY,27
75204,2,SUDDEN DEATH,13
75204,2,THEFT,416
75204,2,TRAFFIC FATALITY,2
75204,3,ACCIDENTAL INJURY,26
75204,3,AGGRAVATED ASSAULT,24
75204,3,ANIMAL BITE,7
75204,3,ASSAULT,92
75204,3,AUTO THEFT - UUMV,70
75204,3,BURGLARY,77
75204,3,CHILD (OFFENSES AGAINST),2
75204,3,CRIMINAL MISCHIEF/VANDALISM,183
75204,3,DISORDERLY CONDUCT,13
75204,3,DWI,23
75204,3,EMBEZZLEMENT,9
75204,3,FIREARMS ACCIDENT,1
75204,3,FORGERY & COUNTERFEIT,9
75204,3,FOUND PROPERTY,86
75204,3,FRAUD,10
75204,3,HOME ACCIDENT,13
75204,3,LIQUOR,2
75204,3,LOST PROPERTY,22
75204,3,MOTOR VEHICLE ACCIDENT,276
75204,3,NARCOTICS/DRUGS,7
75204,3,OTHER OFFENSES,45
75204,3,ROBBERY,64
75204,3,SUDDEN DEATH,8
75204,3,THEFT,424
75204,3,TRAFFIC FATALITY,4
75204,U,ACCIDENTAL INJURY,1
75204,U,ASSAULT,5
75204,U,AUTO THEFT - UUMV,85
75204,U,BURGLARY,155
75204,U,CRIMINAL MISCHIEF/VANDALISM,112
75204,U,DISORDERLY CONDUCT,19
75204,U,EMBEZZLEMENT,16
75204,U,FORGERY & COUNTERFEIT,3
75204,U,FOUND PROPERTY,54
75204,U,FRAUD,17
75204,U,LOST PROPERTY,9
75204,U,MOTOR VEHICLE ACCIDENT,13
75204,U,MURDER,1
75204,U,OTHER OFFENSES,2
75204,U,ROBBERY,2
75204,U,SUDDEN DEATH,7
75204,U,THEFT,445
75205,1,ACCIDENTAL INJURY,1
75205,1,ASSAULT,5
75205,1,AUTO THEFT - UUMV,9
75205,1,BURGLARY,38
75205,1,CRIMINAL MISCHIEF/VANDALISM,23
75205,1,DISORDERLY CONDUCT,1
75205,1,DWI,3
75205,1,FOUND PROPERTY,8
75205,1,HOME ACCIDENT,1
75205,1,MOTOR VEHICLE ACCIDENT,4
75205,1,NARCOTICS/DRUGS,1
75205,1,OTHER OFFENSES,1
75205,1,ROBBERY,5
75205,1,SUDDEN DEATH,3
75205,1,THEFT,64
75205,2,ACCIDENTAL INJURY,2
75205,2,AGGRAVATED ASSAULT,1
75205,2,ASSAULT,3
75205,2,AUTO THEFT - UUMV,5
75205,2,BURGLARY,13
75205,2,CRIMINAL MISCHIEF/VANDALISM,14
75205,2,DISORDERLY CONDUCT,5
75205,2,FOUND PROPERTY,9
75205,2,FRAUD,2
75205,2,HOME ACCIDENT,1
75205,2,MOTOR VEHICLE ACCIDENT,15
75205,2,OTHER OFFENSES,2
75205,2,ROBBERY,1
75205,2,SUDDEN DEATH,2
75205,2,THEFT,54
75205,2,TRAFFIC FATALITY,1
75205,3,ACCIDENTAL INJURY,3
75205,3,AGGRAVATED ASSAULT,1
75205,3,ANIMAL BITE,2
75205,3,ASSAULT,6
75205,3,AUTO THEFT - UUMV,4
75205,3,BURGLARY,8
75205,3,CHILD (OFFENSES AGAINST),1
75205,3,CRIMINAL MISCHIEF/VANDALISM,14
75205,3,DISORDERLY CONDUCT,2
75205,3,DWI,1
75205,3,FORGERY & COUNTERFEIT,1
75205,3,FOUND PROPERTY,8
75205,3,FRAUD,1
75205,3,HOME ACCIDENT,1
75205,3,LOST PROPERTY,4
75205,3,MOTOR VEHICLE ACCIDENT,15
75205,3,NARCOTICS/DRUGS,1
75205,3,OCCUPATIONAL ACCIDENT,1
75205,3,OTHER OFFENSES,3
75205,3,ROBBERY,6
75205,3,SUDDEN DEATH,2
75205,3,THEFT,47
